plate_length,plate_breadth,tp,q_load,BC,nx,ny,dsx,wsx,dsy,wsy,max_deflection,max_stress,nat_freq,is_augmented
1524.0,762.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3922,42.445,208.2,0
1524.0,762.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5715,53.35,104.38,0
1524.0,762.0,17.66,1.0,1.0,1.0,1.0,125.0,12.5,100.0,10.0,0.13153,47.156,-1.0,0
1524.0,762.0,16.73,1.0,1.0,1.0,1.0,145.0,14.5,120.0,12.0,0.10421,44.921,-1.0,0
1524.0,762.0,15.64,1.0,1.0,1.0,1.0,165.0,16.5,140.0,14.0,0.0935,48.319,-1.0,0
1524.0,762.0,17.66,1.0,0.0,1.0,1.0,125.0,12.5,100.0,10.0,0.22731,148.9,-1.0,0
1524.0,762.0,16.73,1.0,0.0,1.0,1.0,145.0,14.5,120.0,12.0,0.1764,140.45,-1.0,0
1524.0,762.0,15.64,1.0,0.0,1.0,1.0,165.0,16.5,140.0,14.0,0.16198,133.34,-1.0,0
1524.0,762.0,17.38,1.0,1.0,0.0,1.0,0.0,0.0,100.0,10.0,0.44132,62.137,-1.0,0
1524.0,762.0,15.9,1.0,1.0,0.0,1.0,0.0,0.0,125.0,12.5,0.39659,56.141,-1.0,0
1524.0,762.0,14.09,1.0,1.0,0.0,1.0,0.0,0.0,150.0,15.0,0.32212,59.859,-1.0,0
1524.0,762.0,17.38,1.0,0.0,0.0,1.0,0.0,0.0,100.0,10.0,1.0783,107.79,-1.0,0
1524.0,762.0,15.9,1.0,0.0,0.0,1.0,0.0,0.0,125.0,12.5,0.69148,121.63,-1.0,0
1524.0,762.0,14.09,1.0,0.0,0.0,1.0,0.0,0.0,150.0,15.0,0.43087,127.31,-1.0,0
1524.0,762.0,18.69,1.0,1.0,1.0,0.0,100.0,10.0,0.0,0.0,0.18948,38.752,-1.0,0
1524.0,762.0,17.95,1.0,1.0,1.0,0.0,125.0,12.5,0.0,0.0,0.15955,33.145,-1.0,0
1524.0,762.0,17.05,1.0,1.0,1.0,0.0,150.0,15.0,0.0,0.0,0.15223,29.686,-1.0,0
1524.0,762.0,18.69,1.0,0.0,1.0,0.0,100.0,10.0,0.0,0.0,0.29623,117.27,-1.0,0
1524.0,762.0,17.95,1.0,0.0,1.0,0.0,125.0,12.5,0.0,0.0,0.26379,107.87,-1.0,0
1524.0,762.0,17.05,1.0,0.0,1.0,0.0,150.0,15.0,0.0,0.0,0.27409,102.56,-1.0,0
1524.0,762.0,18.03,1.0,1.0,2.0,0.0,100.0,10.0,0.0,0.0,0.13653,36.819,-1.0,0
1524.0,762.0,16.92,1.0,1.0,2.0,0.0,125.0,12.5,0.0,0.0,0.10345,31.078,-1.0,0
1524.0,762.0,15.57,1.0,1.0,2.0,0.0,150.0,15.0,0.0,0.0,0.09313,28.556,-1.0,0
1524.0,762.0,18.03,1.0,0.0,2.0,0.0,100.0,10.0,0.0,0.0,0.19901,94.691,-1.0,0
1524.0,762.0,16.92,1.0,0.0,2.0,0.0,125.0,12.5,0.0,0.0,0.14314,88.981,-1.0,0
1524.0,762.0,15.57,1.0,0.0,2.0,0.0,150.0,15.0,0.0,0.0,0.1476,86.751,-1.0,0
1524.0,762.0,17.38,1.0,1.0,3.0,0.0,100.0,10.0,0.0,0.0,0.10873,33.617,316.66,0
1524.0,762.0,15.9,1.0,1.0,3.0,0.0,125.0,12.5,0.0,0.0,0.07758,28.597,-1.0,0
1524.0,762.0,14.09,1.0,1.0,3.0,0.0,150.0,15.0,0.0,0.0,0.06698,28.781,-1.0,0
1524.0,762.0,17.38,1.0,0.0,3.0,0.0,100.0,10.0,0.0,0.0,0.15385,80.336,-1.0,0
1524.0,762.0,15.9,1.0,0.0,3.0,0.0,125.0,12.5,0.0,0.0,0.09356,75.984,-1.0,0
1524.0,762.0,14.09,1.0,0.0,3.0,0.0,150.0,15.0,0.0,0.0,0.09583,76.091,-1.0,0
